subject_id,session_id,ear,event_id,sentence_type,sentence_id,label_id,domain,repeat_id,start_time,end_time
sub_00,002_2083961914,left,0,non_semantic,nonsem_001,0,normal,1,3.3666666666666667,6.566666666666666
sub_00,002_2083961914,left,1,non_semantic,nonsem_001,0,normal,2,7.3,11.266666666666667
sub_00,002_2083961914,left,2,non_semantic,nonsem_001,0,whisper,1,11.866666666666667,15.333333333333334
sub_00,002_2083961914,left,3,non_semantic,nonsem_001,0,whisper,2,15.4,18.5
sub_00,002_2083961914,left,4,non_semantic,nonsem_001,0,silent,1,19.1,22.433333333333334
sub_00,002_2083961914,left,5,non_semantic,nonsem_001,0,silent,2,23.033333333333335,26.366666666666667
sub_00,002_2083961914,left,6,non_semantic,nonsem_002,1,normal,1,33.2,36.766666666666666
sub_00,002_2083961914,left,7,non_semantic,nonsem_002,1,normal,2,37.56666666666667,42.1
sub_00,002_2083961914,left,8,non_semantic,nonsem_002,1,whisper,1,42.166666666666664,46.0
sub_00,002_2083961914,left,9,non_semantic,nonsem_002,1,whisper,2,46.06666666666667,51.0
sub_00,002_2083961914,left,10,non_semantic,nonsem_002,1,silent,1,51.13333333333333,55.333333333333336
sub_00,002_2083961914,left,11,non_semantic,nonsem_002,1,silent,2,55.46666666666667,59.666666666666664
sub_00,002_2083961914,left,12,non_semantic,nonsem_003,2,normal,1,66.16666666666667,70.66666666666667
sub_00,002_2083961914,left,13,non_semantic,nonsem_003,2,normal,2,72.03333333333333,76.2
sub_00,002_2083961914,left,14,non_semantic,nonsem_003,2,whisper,1,76.26666666666667,81.13333333333334
sub_00,002_2083961914,left,15,non_semantic,nonsem_003,2,whisper,2,81.2,85.73333333333333
sub_00,002_2083961914,left,16,non_semantic,nonsem_003,2,silent,1,93.4,94.53333333333333
sub_00,002_2083961914,left,17,non_semantic,nonsem_003,2,silent,2,96.6,97.66666666666667
sub_00,002_2083961914,left,18,non_semantic,nonsem_004,3,normal,1,101.86666666666666,106.96666666666667
sub_00,002_2083961914,left,19,non_semantic,nonsem_004,3,normal,2,108.1,113.23333333333333
sub_00,002_2083961914,left,20,non_semantic,nonsem_004,3,whisper,1,113.3,118.8
sub_00,002_2083961914,left,21,non_semantic,nonsem_004,3,whisper,2,118.86666666666666,124.26666666666667
sub_00,002_2083961914,left,22,non_semantic,nonsem_004,3,silent,1,124.4,129.66666666666666
sub_00,002_2083961914,left,23,non_semantic,nonsem_004,3,silent,2,129.83333333333334,135.1
sub_00,002_2083961914,left,24,non_semantic,nonsem_005,4,normal,1,137.6,141.03333333333333
sub_00,002_2083961914,left,25,non_semantic,nonsem_005,4,normal,2,142.23333333333332,146.3
sub_00,002_2083961914,left,26,non_semantic,nonsem_005,4,whisper,1,146.36666666666667,150.06666666666666
sub_00,002_2083961914,left,27,non_semantic,nonsem_005,4,whisper,2,150.16666666666666,154.53333333333333
sub_00,002_2083961914,left,28,non_semantic,nonsem_005,4,silent,1,154.66666666666666,158.56666666666666
sub_00,002_2083961914,left,29,non_semantic,nonsem_005,4,silent,2,158.73333333333332,162.6
